ExperimentID,Investigators,Bin_Original,Bin_Final,Treatment,PlantRep,SoilDepth,HtFirstInflor,MassFirstInflor,CountRayFlowers,CountDiskFlowers,MassVeg,FinalMassTotal,MassRemoved,,,,
Enemies1cat,LaytonMastrangeloZabinski,3,,c_away,7,2.5,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,3,,c_away,8,0.9,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,3,,c_away,9,2.9,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,3,,c_away,10,2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,3,,c_away,11,2.9,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,3,,c_away,12,2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_away,13,3,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_away,14,2.9,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_away,15,2.8,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_away,16,2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_away,17,3,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_away,18,2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_away,19,3.2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_away,20,2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_away,21,4,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_away,22,1.8,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_away,23,2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_away,24,2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,2,,c_close,1,3.2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,2,,c_close,2,1,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,2,,c_close,3,3.1,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,2,,c_close,4,2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,2,,c_close,5,2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,2,,c_close,6,2.5,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,2,,c_close,7,1.9,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,2,,c_close,8,2.5,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,2,,c_close,9,2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,2,,c_close,10,1.9,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_close,11,1.5,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,3,,c_close,12,2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,3,,c_close,13,3.5,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,3,,c_close,14,2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,3,,c_close,15,2.5,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_close,16,2.4,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_close,17,2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_close,18,3,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_close,19,1.9,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_close,20,2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_close,21,4,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_close,22,1.8,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_close,23,2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,1,,c_close,24,2,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,2,,cat,1,1.5,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,2,,cat,2,2.5,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,2,,cat,3,3,,,,,,,,,,,
Enemies1cat,LaytonMastrangeloZabinski,2,,cat,4,2.1,,,,,,,,,,,
